user_id,step,timestamp
U018,visited_site,20-07-2026 03:50
U040,signup_started,20-07-2026 03:55
U029,signup_started,20-07-2026 03:57
U160,visited_site,20-07-2026 03:34
U011,details_filled,20-07-2026 04:21
U068,visited_site,20-07-2026 04:05
U005,details_filled,20-07-2026 04:34
U117,signup_started,20-07-2026 03:55
U191,visited_site,20-07-2026 03:40
U076,signup_started,20-07-2026 04:16
U131,purchase_completed,20-07-2026 04:57
U109,purchase_completed,20-07-2026 04:33
U030,visited_site,20-07-2026 04:01
U099,signup_started,20-07-2026 04:23
U176,visited_site,20-07-2026 04:08
U070,signup_started,20-07-2026 03:48
U075,signup_started,20-07-2026 04:13
U161,visited_site,20-07-2026 04:01
U053,email_verified,20-07-2026 04:36
U093,signup_started,20-07-2026 04:08
U112,visited_site,20-07-2026 03:42
U008,visited_site,20-07-2026 03:49
U118,signup_started,20-07-2026 03:51
U026,details_filled,20-07-2026 04:24
U126,visited_site,20-07-2026 03:37
U056,visited_site,20-07-2026 03:52
U049,visited_site,20-07-2026 03:38
U196,visited_site,20-07-2026 03:34
U050,signup_started,20-07-2026 04:23
U100,visited_site,20-07-2026 03:56
U032,visited_site,20-07-2026 03:48
U060,signup_started,20-07-2026 04:09
U183,visited_site,20-07-2026 03:38
U115,purchase_completed,20-07-2026 04:35
U024,signup_started,20-07-2026 03:55
U090,email_verified,20-07-2026 04:18
U081,signup_started,20-07-2026 04:03
U040,details_filled,20-07-2026 04:22
U024,visited_site,20-07-2026 03:38
U134,signup_started,20-07-2026 03:48
U098,visited_site,20-07-2026 04:00
U001,visited_site,20-07-2026 03:33
U031,visited_site,20-07-2026 03:39
U038,details_filled,20-07-2026 04:04
U025,signup_started,20-07-2026 03:46
U007,details_filled,20-07-2026 04:10
U024,details_filled,20-07-2026 04:28
U128,signup_started,20-07-2026 03:45
U086,visited_site,20-07-2026 03:34
U138,purchase_completed,20-07-2026 04:37
U127,signup_started,20-07-2026 04:23
U056,signup_started,20-07-2026 04:20
U021,signup_started,20-07-2026 04:13
U113,visited_site,20-07-2026 03:59
U135,signup_started,20-07-2026 03:51
U132,purchase_completed,20-07-2026 04:58
U153,visited_site,20-07-2026 03:43
U089,signup_started,20-07-2026 04:20
U052,signup_started,20-07-2026 04:07
U182,visited_site,20-07-2026 04:05
U121,visited_site,20-07-2026 03:52
U122,signup_started,20-07-2026 03:47
U133,signup_started,20-07-2026 03:50
U189,details_filled,20-07-2026 04:29
U199,visited_site,20-07-2026 03:43
U161,details_filled,20-07-2026 04:25
U009,visited_site,20-07-2026 04:06
U146,signup_started,20-07-2026 04:23
U197,visited_site,20-07-2026 03:34
U172,details_filled,20-07-2026 04:31
U018,details_filled,20-07-2026 04:08
